tourist_name,tourist_country,topic,reviews,visit_date,tourist_type,reviewed_place
adipadi25,"Perth and Kinross, UK",Interesting visit,This 45 minute guided tour of the World Heritage site is educationally worthwhile and also fascinating given the landscape and context of the stone carvings. There is a bit of climbing to do so adequate footwear is advised.,26-Mar-19,Couples,Okaukuejo waterhole
Adolfo C,Upington,Awesome landscape,"During our trip to Namibia we visit this place, an easy trip from Swakopmund. Go there in the afternoon when the sun did not shine on the rock paintings made by the bush-mans.The guide will explain to you for a token price what you need to know about the paintings and the flora. Visit the rock bridge and your breath will be taking away.A must on the Namibian tour.",22-Jul-14,Family,Desert Explores
adrea280,"Strand, South Africa",Thoroughly enjoyed!,"We thoroughly enjoyed the visit to Kolmanskop! Guide well spoken, knowledgable and a voice load enough to hear what is said!",8-Apr-16,Couples,Okaukuejo waterhole
Adrian L,"Port Moody, Canada",Very interesting and worth it!,"On our self drive trip from Spitzkoppe to Grootberg lodge in North Damaraland, my wife and I planned to stop at Twyfelfontein since it was on the way. It's very interesting to learn about the prehistoric wall etchings. There were a large number and variety of etchings, and our guide was very knowledgable. All in all, it was worth the stop en route to our next camp site.",21-Jul-17,Couples,Okaukuejo waterhole
AdrianH_9,"Wellington, UK",Was That It ?,"You drive to a car park , then get shuttled up to another one closer to Deadvlei. No signposting , had to work it out by elimination - footprints - as shuttle driver pointed vaguely.Trudging over too forgiving dunes (how's about a boardwalk to protect the dunes ?) , only to get there after c. 20 mins and then we all went : ""Is that it ?!""Obviously worth doing if you are in the area, and despite initial underwhelming reaction when you see it, you should probably walk down to the pan to get the pictures.",13-Jul-15,Couples,Okaukuejo waterhole
AdrianH_9,"Wellington, UK",Fascinating,"This is a ""must"" if you are in the area. Takes about an hour to get round . We had a really enthusiastic lady guide ( I wish I could remember her name as deseves a mention) who really brought it all to life.A very intersting setting too.",13-Jul-15,Family,Desert Explores
ADRN,Bangkok,Great extraordinary experience,After a turbulent ride in the jeep which brought us to the end of the path we had to walk to the site. The vieuw was really unreal and a memorable experience which we will remember the rest of our life. Just go there and enjoy,8-Jan-18,Couples,Desert Explores
adtraveller2016,"London, UK",interesting attraction,"great tour guide  to explain the history of the ghost town, lost in large part to the desert sand. well worth a visit",19-Sep-18,Couples,Desert Explores
Adventuregirl45,Brisbane,You must go here in Namibia!!,"Amazing scenery, good hike in the red sand and the view was terrific! Heaps of tourists but it didn't matter it was still a great experience!",9-Nov-14,Couples,Desert Explores
AdventurePhiles,"Dallas, TX",Informative and interesting tour.,"One does not have to take the guided tour, but the hour is well spent. We learned not only about the town itself, but about the diamonds and their formation. We were free to wander around and in the buildings before and after the tour.",15-Jul-19,Couples,Desert Explores
Adventurers049,"Brisbane, Australia",A good place to visit,Such a spooky place! The tour guide we had was very good and we learned a lot about the place.Great photo opportunities too!Check for the tour times otherwise you could be in for a long wait.,13-May-16,Family,Okaukuejo waterhole
Adventures of tintin,"Melbourne, Australia",tour,its advisable to visit this place during the tour times else you will miss the peculiar details narrated by the guide.we taken through the town by a humorous lady who had the history of the town on her fingertips and made our tour worth the while.,1-Jan-16,Couples,Okaukuejo waterhole
aejook,"Seoul, South Korea",Breathtaking!,"How can I describe Deadvlei?  I have visited so many incredible sights in my 3 week Trip to  Namibia and this has got to be the one stands out the most.  Hiking up the dune was an incredible experience I will never forget. Looking down from the top was scary but it wasamazing.  I was so thankful that I was standing up there and witnessing Godâs amazing creation.   It just humbles you.  If I had to pick just one place in Namibia, Deadvlei is the one.",21-Jul-18,Couples,Okaukuejo waterhole
aetzi82,"Milan, Italy",Exiting place not to be missed,"Surely one of top place to see in namib.We stayed at desert camp, that is very close to gates, and arrived at gate 1h before the opening. I suggest to come early in the morning, go directly to 2WD park area and use the shuttles to the 4WD area. From there you have two alternatives:- go directly to deadvlei in 15 minute walks- climb the big daddy dune and arrive at deadvlei from behind.If you are quite healthy, I recommend the second one. Climb Big Daddy is hard (1.5 hours) but very exciting and with a incredible view. From there you could get down on deadvlei and take all the pics you want. Shadows and lights are fine until 11 o clock but it is very hot to stay there.",22-Aug-17,Couples,Okaukuejo waterhole
afer,"Portland, ME",Amazing Self-Drive Family Safari,"Namibia Tours & Safaris planned a flawless self-drive safari for our family of four. Petra had wonderful suggestions, answered my many questions and was responsive to our ideas as well. I did a lot of research prior to the trip, but planning and coordinating reservations from the US was challenging. Petra worked out every detail for us, the rental vehicle with rooftop tents, campsite and hotel reservations, as well as tours and activities. From our arrival in Namibia everything went smoothly and Namibia Tours & Safaris was available whenever we had questions. Overall we had an amazing trip and we would highly recommend working with this company. They were friendly, knowledgeable, responsive and we had a great experience with them overall. We recommend Namibia Tours & Safaris without hesitation and plan to use them again for our family next safari.",14-Sep-19,Family,Namutoni
AFreviews,"Tromso, Norway",Incredible sight but go early if you can,"Deadvlei is one of the highlights of Namibia for many and therefore can be overcrowded. We stayed in the camping inside the park, which gave us the advantage to start earlier than visitors outside the park. We started at 5h30 when the gate opened and were one of the first visitors on the sight! Absolutely incredible. That was totally worth it, we spent some time climbing big daddy and visiting deadvlei, not so many people around when we arrived. When we left, the parking was full of cars and we saw all the big groups coming in. Go early and enjoy the magic of this place!",23-Oct-18,Friends,Okaukuejo waterhole
AFreviews,"Tromso, Norway",Fantastic tour- but try to arrive early,"We visited Kolmanskop on our way to Luderitz. We arrived at 8h and thought first we had to buy a photographer pass, but actually you can enter from 8h to 13h at the normal rate. That was a nice surprise, we were basically almost alone until 9h30- when the tour starts! We took amazing pictures and wandered around this fascinating ghost town. We then took a 45minutes tour with Joshua who told us many interesting facts about the place- he was a very knowledgable guide and we had a great time. After the tour, we wandered some more, this time it was packed with people, but if you go to the further houses we could still be alone. We have read a lot about the place before coming, which made our visit even more enjoyable. The morning light was great for pics- so unless you want to access the site in the evening, don't buy the photographer pass- just come early!",23-Oct-18,Couples,Namutoni
African_LandCruiser,"Hermanus, South Africa",Awesome art in evocative setting,"Good tour of an important World Heritage Site ... like the tourist centre made from re-cycled materials. Start early before the heat. Buy the guide a drink or 2, and chat about yourself and him/her BEFORE your walk (African custom is that one gets to know one another first before conducting business/activity, so its good.. just good manners). This encourages better engagement (who doesn't get a bit miffed about their job after being there a while). Go early in morning if out of season (May-Sept when cooler) and you'll be more comfortable and beat the tourist crowds. Don't use flash for photos (tripod?) and you'll get crisper results. We did the Lion Man route (alt: Kudu and physically impaired options) and it was no problem for those of reasonable fitness. There is an alternative route for the elderly and physically challenged. Engelhardt was reserved at first but livened up once you got to know him. .... we had a great chat afterwards.  Great few hours spent on our trip through Kaokaland and Damaraland.",13-Sep-12,Couples,Okaukuejo waterhole
aguyfromjhb,South Africa,Amazing!,"Great to see such a natural wonder so well preserved and looked after. We went to the bridge, and got to see it up close. Amazing place to go and see if you can bare the gravel road to get there.",3-Jan-18,Family,Daan Viljoen Nature Reserve
aguyfromjhb,South Africa,Awesome Landmark to go see,"Amazing to walk around in what was once a bustling town. Incredible history and stories that live here. Definitely do the tour, then check out the hospital",3-Jan-18,Family,Onguma Bush Camp
Ahmed Yehia,Egypt,Amazing spot!,"Highly recommended for Dune lovers, the sand of Namibian desert is quit different than the normal dunes i know back home in the Sahara of Egypt... very high dunes and directly looking over the amazing ocean",14-Feb-18,Family,Okaukuejo waterhole
AHSchilling,"Cape Town, South Africa",A must visit !,This was our second time visiting this ghost town and it was just as good as the first .The guided tours are about an hour long and very informative.After that one is allowed to wander around and take the most beautiful photos.Kolmanskop tells the story of the diamand rush that had hit this place in the previous century.Definately worth a visit .,19-Dec-16,Couples,Okaukuejo waterhole
AHZambia,"London, UK",Excellent,Not to be missed.  Incredible rock engravings and the guides really help interpret and explain.Make sure you take water and a hat as there is no shade and it gets very hot even at mid-morning.  One tourist there had to be rescued by my guide as he had collapsed with heat stroke at 10am.,16-Nov-17,Solo,Okaukuejo waterhole
AilishDavis,"Manchester, UK",The most beautiful place I have ever been!,"Tucked away in the desert surrounded by huge granite boulders, Spitzkoppe feels about as secluded as you can get. We camped here for only a single night but, despite the lack of running water in our campsite, I would have happily stayed another. One of the Damara locals (the wonderful Frans) took a few of us on a walk to visit the 4000 year old San rock art nearby and chatted to us for the few hours there and back: pointing out local plants and their uses, showing us the animals (dassies), attempting to teach us a little of his language (a click language) and telling us about local food and culture. Hiking around the area is also incredibly beautiful. After it got dark, we all chilled by the campfire and watched the stars. I do not think I have ever or will ever see anything like this place ever again: completely beautiful.",12-Aug-15,Friends,Onguma Bush Camp
AilishDavis,"Manchester, UK",If only the staff were there,"I am someone who really loves ancient art - this was one of the things I was most looking forward to about my trip to Namibia but sadly I was disappointed. My overlanding group turned up 25 minutes before the final tour (supposedly) only to be told that the schedules had changed and we were to come back a 7 the next morning. When we arrived the next morning, there was no one around. After careful reading of the times we realised that we have been lied to twice: the latest tour was indeed when we thought and the earliest was not until 8am - we had to move on swiftly so we spent about 40 minutes hurriedly trying to find the paintings and carvings in the rocks. The paintings themselves are absolutely incredible and definitely worth seeing. The area itself is absolutely stunning to hike around, even if you don't have an interest in ancient rock art. If we had just had a guide I feel like the experience might have been great.",12-Aug-15,Friends,Okaukuejo waterhole
AilishDavis,"Manchester, UK",Eerie and pretty cool,I was told this was a petrified forest (which it is not) but even still it is fascinating - loads of dead husks of Van Gogh-like trees on a clay bed in the middle of stunning red dunes. Definitely worth a look if you are in the area!,14-Aug-15,Friends,Okaukuejo waterhole
Ainhoa A,"Valencia, Spain",Good Waterhole to see Rhinos,"We stayed in this rest camp the first night and we really enjoyed it. The sunset is a fantastic performance. Take a beer and enjoy yourself seeing giraffes, rhinos, jackals, ....",29-Apr-19,Couples,Namib Desert
airvent1110,"London, UK",16 days Best of Namibia self drive,"We had an amazing trip! Namibia was stunning, and made even easier by Jeanine who booked everything for the 2 weeks we were there. Airport pick up, 4x4 rental, and 10 lodges along the route: Kalahari, Fish River Canyon, Luderitz, Kalmanskop, Sosusvlei, Swakopmund, Damaraland, Etosha, AfriCat foundation, Windhoek... Very easy to self drive, which gives you the flexibilty to go at your own pace! Car was good enough, with basic comfort, although we could not plug any music, and radio does not work in a lot of places. Download your own offline GPS, like maps.me, as Garmin provided can be out of date...",1-Sep-19,Couples,Okaukuejo waterhole
Ajay G,"Atlanta, GA",Highlight of our Etosha trip,"Excellent waterhole - well lit, large and attracts a wide variety of animals. We were fortunate to experience a visit by 4 lions, the only time we saw the carnivores at Etosha! Highly recommend!",28-Aug-22,Couples,Heroes Acre
Ajit S,"Nairobi, Kenya",LUXURY TOUR OF NAMIBIA FOR 20 DAYS,"I am giving you a true opinion of the experience i had when dealing with Namibia Tours & Safaris. They are a totally reliable organisation with some leeway on payment terns as well. My itirenary was categorised on a Luxury scale which was adhered to on every way possible as well as we had chosen the flying option for which there were no hitches at all and everything was well planned and coordinated. I had requested for Luxury accomodation which was provided for as well as suggestions by Wilmari for some properties were exceptionally good. On our acitivities we did not miss out on anything and the weather conditions were perfect for some activities such as Hot Air Ballooning, flying from one destination to another, various sundowner drives, sundowner cruise over the kunene river, Dolphin cruise over Walvis Bay where we intereated with a seal  as well as all the Game drives in the various parks we visited sighting aroung 70 lions as well as the Big 5, having a cheetah walk and trekking of cheetahs as well as leopards & wild dogs. It was a perfect trip of a lifetime and we strongly recommend for discerning travellers to utilise their services.",2-Jun-16,Family,Otjikoto Lake
AJKPerth,"Perth, Australia",Great History Lesson,"We stopped here as part of our tour. The history was very interesting and the walk to see all the carvings amazing. It was a bit warm, even in mid winter, take water and wear sunscreen. it would be very hot here in summer.",27-Aug-16,Friends,Namib Desert
AJMglobaltraveller,"Staines, UK",Excellent experience,Kolmanskop is fascinating - to see how the white people lived when the diamond mining was in its heyday - they had everything - even a bowling alley! We were not shown the African workers quarters - but to hear the tales about the mining was really interesting. The larger houses had everything - but not sure i would want to live there!,7-Aug-16,Friends,Epupa Falls
Akhil Bakshi,"Gurugram (Gurgaon), India",Reasonable and good variety,Most handicrafts available in various parts of Southern Africa are similar in design. The craft centre in Windhoek has about 40 shops that sell a wide range. Some have fixed prices. Others negotiate. Credit cards accepted in most shops. Prices are better than in fancy stores for similar goods. Craft Cafe offers great health food and juices.,26-Jun-17,Couples,Okaukuejo waterhole
Akka J,"Prague, Czech Republic",Deserted,"In the middle of the desert, a town that was left by its population about 60 years ago. Not that rare in the region, but what you see here is unique. The houses are still in a good condition, the signs on the doors warning of snakes add a certain scary element, and the story is just great. Beware of the big tourist groups - do one of the two daily guided tours, but stay away from the crowd immediately afterwards.",6-Oct-13,Friends,Desert Explores
Akron,"Akron, OH",Love big cats,Very affordable.  Interesting and educational.  The work here is pretty critical and the staff very dedicated. Hitched in it was  little difficult but worth the effort.  Cheetahs are cool and you will see a few close up,4-Dec-14,Friends,Onguma Bush Camp
Al R,"Bristol, UK",Get there early for some amazing sights,"If you want to see a real abundance of wildlife, this is a great place to start. But you do need to get up early to see the best (or be there around sunset). The number of zebra and springbok we saw was phenomenal. Way too many to even guess a number. Interspersed with many animals, it's a wonderful way to start your day.",12-Aug-18,Friends,Swakopmund Museum
alalf_11,"Milan, Italy",excellent experience,"Excellent travel agent. excellent resorts. excellent services and assistance. Anjia worked seriously and did her best. The only problem was with payement, but we solved.",28-Aug-19,Family,Etosha_Pan
Alan C,"St. Helena Bay, South Africa",History remains interesting!,"After sailing into Luderitz one of the main attractions is Kolmanskop ghost town. It has been preserved for more than 100 years after the diamond mining felt the effects of the Great Depression. The great hall or ballroom is where it all starts and to imagine the rather opulent lives lead by the few living there is mind boggling- they had ice , a ballroom , baker , butcher , small train delivering a half block of ice to every house daily , 20l fresh water per day per person - all from a Luderitz condensor making fresh water from seawater. The desert is reclaiming the buildings but that adds to the attraction. It's a must do guided visit - go to the travel shop ask for Liz and the rest is easy.",27-Apr-17,Couples,Okaukuejo waterhole
Alan J,"Derby, UK",A stunning landscape,Walk through the scorching dunes to arrive at a mystical white salt pan littered with the stumps of dead trees.A surreal experience and well worth the exhausting walk to reach the valley.,8-Nov-17,Couples,Okaukuejo waterhole
Alan R,"Cambridge, UK",Abundant wildlife here,"There was a particularly wonderful troupe of elephants including babies who arrived and wallowed in the waterhole, but there were large numbers of zebras, antelope, giraffe and warthog too",20-Aug-18,Couples,Namib Desert
Alan R,"Cambridge, UK",Part of the unique Sossusvlei environment,"Generally, many tourists arrive at the gate of the national park at sunrise. To get to Deadvlei, you have to drive 60km on the tarmacked road and then there is a drive through a dried up river bed to Deadvlei. Two recommendations: 1) if you are not a confident and knowledgeable 4*4 driver you may get stuck driving through the dried up rivers - an alternative is to get the shuttle from the car park at the end of the tarmacked road. 2) most tourists stop at Dune 45 on the way to Deadvlei and climb it with a huge train of other tourists  who they then go on to Deadvlei with; I would recommend driving straight past Dune 45 and visiting Deadvlei first when there will be few other visitors and then climbing Dune 45 on the way out after most of the tourists have left. Thirdly if you visit in winter, it will likely be cold first thing and so wear lots of layers that you can take off as the desert heats up.Deadvlei itself is about a 15 minute walk from the final car park and is a unique and photogenic environment. Alternatively you can climb the neighbouring dune and look down on it.",24-Aug-18,Couples,Okaukuejo waterhole
Alan R,"Napier, New Zealand",More than adequate,I had read some fairly bad reviews of this camp and decided we should just keep an open mind but be prepared to put up with less than enthusiastic staff. Our concerns proved to be unfounded as we found the staff to be friendly and willing. If I do have a criticism it is that I think staff training isnât up to scratch.The waterhole is very good and we saw lots of elephants which probably precluded the visit of other animals. The food was unpretentious and good. The wine list was limited and contained no Namibian wine which should be fixed. Our rooms were clean and comfortable. We would be very happy to stay again.,9-Jul-18,Couples,Okaukuejo waterhole
AlanB46439,"Flemington, NJ",Excellent Adventure,"Ulrike Joubert did a wonderful job arranging for all of my trip including 4 charter flights, 3 lodges, 8 car transfers, and all the meals and activities.  I don't hesitate to recommend Namibia Tours & Safaris.",6-Nov-17,Solo,Epupa Falls
AlanSL,South Gloucestershire,A lot of sand.,"Spent most of the day in the Namib desert, which had little sand but a moon like landscape of hard rock. We had the sand and so much of it as we approached DÃ¼ne 7.The dunes were massive.Many climbed and became dots on the horizon I watched, for I find ploughing through sand energy sapping.It is staggering to see. And no doubt has splendid views for those who reach the top.A wonderful natural beauty.",24-Apr-19,Family,Okaukuejo waterhole
AlanSL,South Gloucestershire,A strange emptiness.,"Travelled with a small group from the port Luderitz. Main road was good but sand tracks thereafter........ and it was hot!The Diamond Capital of the world a hundred years ago now transformed into a slowly decaying shell gradually being consumed by sand. In its heyday it had remarkable facilities. The skittle alley and main entertainment hall have been preserved and include fascinating photos of the early days, particularly diamond smuggling attempts.We moved as a group initially from building to building marvelling at what had been achieved long ago, but the process of moving through sand and the heat made progress slow. We were lucky it was not a windy day. On some occasions it whips along at a 100 km an hour.The weakness in our tour was that too little time was allowed for personal investigations. The âtownâ was spread fairly wide and a fair bit of ploughing through sand was necessary.It had a haunting quality!",24-Apr-19,Family,Epupa Falls
AlanWardinYork,"York, UK",Very knowledgeable guide,"Namibia is a fascinating place and our guide, Buzz, was great. His passion for the country and wildlife was very infectious and made for a very memorable experience of the desert, coast and Swakopmund. It was very busy on the day we visited (3 cruise ships in port), so our tour had been sub contracted to Buzz who worked for one of the sister companies in Walvis Bay (Batis Birding safaris I think), but we in no way suffered for this. Our impression was that all the guides making pick ups at the port were very professional and friendly. In our case we had a tailored tour that avoided the crowds despite the number of visitors on that day. We saw the desert, Dune 7, the moon landscape, coast and highlights of Swakopmund in a good value full day tour. The highlight was a slow mo video of a chameleon shooting out his tongue in the desert. All in all highly recommended.",2-Feb-19,Couples,Epupa Falls
alaskantravelnut,Anchorage,Extraordinarily professional and helpful,"My wife and I, and our two adult children, rented a 4x4 truck through Namibia Tours & Safaris for a 24 day trip through Namibia, Botswana, and Vic Falls.  The truck was outfitted with two rooftop tents.  We mostly camped, but also stayed in some lodges.  Our journey included a two-night fly-in trip to a lodge in the Okavango.  Ulrike, at Namibia Tours & Travel arranged our stays and our transportation.  It was an incredible trip.We have traveled extensively.  We do not typically use agencies to make our travel arrangements.  However, this agency, and Ulrike individually, were recommended to us by well-traveled friends who had done a similar trip a few years earlier.  We had abundant e-mail correspondence with Ulrike when planning this trip.  We gave her a rough idea of the places that we wanted to visit and a general description of our budget.  She customized our trip.  She promptly responded to all of our correspondence and provided us with substantial information about our various options.  She was incredibly professional and paid a lot of attention to detail.  Our travels took us through Swakopmund where her office is located.  I stopped in to say hello.  She was as personable as she was professional.  When we arrived in Windhoek to start our trip, we were provided with a travel diary that Ulrike had prepared.  This included very helpful information about our destinations, our accomdations, and our route.  We were also provided with a pre-programmed GPS and a telephone to use in emergencies.  They arranged transportation to and from airports upon our arrival and departure.I could have planned this trip without using this agency, and likely would have saved some money doing so.  But, the trip was reasonably priced, and we certainly got our money's worth.  It was an incredible adventure.  By using Namibia Tours and Safaris, I undoubtedly saved many, many hours of research and planning that would have been required had I tried to do this without their help.  Even then, I likely would not have had as good a trip as we had by booking through Namibia Tours and Safaris.  Moreover, it was comforting to know that there was a local company available to help solve any problems that could have arisen.  I very highly recommend this company, and Ulrike in particular.",21-Nov-19,Solo,Namib-Naukluft National Park
alaskantravelnut,Anchorage,Stunning contrasts,"A drive into this park offers views of burnt orange sand dunes and occasional wildlife sightings.  Purchasing a pass into the park is good for multiple entries in the same day.  The views are better early in the morning and late in the evening, when the light is best to illuminate the stark contrasts.  It is also cooler then.  You can drive all the way to Deadvlei.  The last three kilometers are through sand, and only for confident drivers with four wheel drive.  You can also take a free shuttle from the 2 wheel drive parking lot over the last 3 km to Deadvlei and back again.  Hiking up the large dunes at the end of the road offers stunning vistas according to our fit kids.  However, you can also enjoy the views with little or moderate walking. The gate closes at 7:00 p.m.",7-Nov-19,Family,Okaukuejo waterhole
Alastair C,"Penarth, UK",A Truly Amazing Experience,"We decided on a self drive tour around the southern half of Namibia over a two week period using Namibia Tours and Safaris.  The vehicle was great, a Toyota Frontera 4wd with two spare tyres (thankfully not needed!) On pick up we were given a thorough briefing on driving the vehicle including the inflating and deflating guidelines as there is no roadside assistance package in Namibia although a tracker on the vehicle and a mobile phone meant the company support service was never more than a day away (remember this is Namibia) Lodges had been entered in sat nav, water cooler generously provided foc and we were off.Among the highlights were Fish River Canyon,Sossusvlei and Kolmonskop but the real highlights was the stunning and diverse scenery, wildlife,night skies,  the people we encountered and the experience of driving 100's of miles along wide dirt tracks without seeing another vehicle. This is truly a unique country and well worth the time, effort and expense to visit but it would have been a lot more challenging to do independently and with such remote and rugged destinations the support of a Tour company provides that little bit of reassuranceThe support given by the team was great and they even sorted out the shipping of a lost shirt back to the UK so I would like to thank Jenifer and all of the team for all of their advice and support with our trip.NB.2 golden nuggets of adviceEnsure you always fill up when you see a modern petrol station, some of them on the map are little more than big tanks with a hose!Check your lodge locations on a map and don't blindly trust the sat nav as we experienced a couple of issues where our sat nav had a meltdown and tried to takes us through a mountain.range !",26-Aug-18,Friends,Onguma Bush Camp
Albany2,"Johannesburg, South Africa",Spitzkoppe,"We were traveling to henties bay and were told that the spitzkoppe were fine for passing scenery, but we decided to turn in and get a closer view. Glad we did as we got some great photographs and if you are in the vicinity, take a closer look.",15-Sep-12,Couples,Waterberg National Park
Alenka_travels,"Vienna, Austria",Paradise for photographers,"The best time to visit is in the early morning, right when they open the gates. If you pay the photographer fee you can go even earlier. For us it was one of the highlights of Namibia. You can walk around the abandoned buildings alone or you can go on one of the free tours. And as we were there in the off-season there were only a handful people there.",28-May-18,Couples,Dune 7
Alex,"Landsmeer, The Netherlands",Souvenir shopping before heading home,"A few hours before we flew home we spend a few hours in the craft Centre. There are a lot of different vendors with great items. For example we bought wooden giraffes, wooden Mancala (African board game), Etosha & Sossuvlei sand. If you are tired you can have a great lunch in the cafeteria.",12-Oct-19,Business,Onguma Bush Camp
Alex L,"Centurion, South Africa",Very busy,When travellers go to Namibia the go to Sossusvlei. It is therefore very busy to the extend that the roads leading her are in a bad condition. Sossusvlei itself is still magnificent to visit.,15-Jul-19,Couples,Okaukuejo waterhole
Alexander A Orekhov,"Western Cape, South Africa",driving off roads from Walvis Bay to Twyfelfontein,"Driving to Twyfelfontein rather take 4x4, since at some places will need to cross a challenging passes, also rather store extra fuel or at least fill up at Uis petrol station and keep a spare tyre. On our way from Walvis Bay to Twyfelfontein we went via C34 to Hentisbaai and then turned to C35 for Uis. By the same afternoon we stopped for overnight at the White Leady Lodge. White Leady Lodge is facilitated by the local community, there are a few basic chalets and the camp. At the main building is a swimming pool and small restaurant with the bar. Next day we continued by the C35, yet at some places turning off roads to watch birds and some wild life, eventually getting to C39 turning west for Twyfelfontein. Twyfelfontein is nicely situated lodge with well organised pool, restaurant and the bar. We slept in a chalet equipped with essentials like a TV, el.kettle and fan. Early next morning we continued by C39 towards the coats and reaching C34 turned south for Hentisbaai. This part can be done only during the day time and an entry permit must be obtaining at the gate to Skeleton Coast Park. Driving Skeleton Coast can be a challenging for a solo traveller, so rather take a companion with spare wheels and extra petrol. Enjoy!",8-Dec-15,Family,Okaukuejo waterhole
Alexander A Orekhov,"Western Cape, South Africa","Spitzkoppe, Namibia","Spitzkoppe is very much dramatic and pictures place for nature and camp lovers.There are 11 camp sites.Â For those looking for accommodations, there are 5 challets with some very basic facilities: 3 or 5 beds to sleep over and 3 x pin plugs for electrical use.Â I might suggest bringing your own el.portable kettle,Â since bar/restaurant at the Reception could be closed early in evenings.Â Nevertheless each challet is assigned with own open fire place to enjoy. Also for Challets are built a few toilets and one shower room (nil bathing zink is set in any chalet itself) to share.Â For new comers I would suggest initially taking local guide for introducing yourself to the areaÂ and obtaining handy ideas for best spots to camp or sunset viewing etc (this could take only an hour or two), then you might be more comfortable moving around (also pick up some interesting local histories).There is a small shop at Reception to buy bunched fire wood, fresh water and some souvenirs. Certainly Spitzkoppe is absolutely spectacular place for an overnight or longer stay or to a day tour.",13-Jul-15,Solo,Namutoni
Alexander A Orekhov,"Western Cape, South Africa",Kalmanskop,"I approached Kalmanskop just before a sunset: the very lost town was magnificent in any imaginable burning kind of colors / officially the site is open 0800-1300, yet the one may take a chance through its backyard / get there, touch it's space, feel the time ...",15-Jul-15,Solo,Etosha_Pan
Alexander G,"Singapore, Singapore",18 Days Guided Tour (Namibia/Botswana/Zimbabwe),"Being our first visit to Africa, our travel agent Jessica Botes was extremely helping in providing us with information and the planning of our Honeymoon. We initially emailed then started discussing over Skype from Singapore. Our trip was a guided one (in Namibia) and was absolutely perfect. The itinerary was tailor made to our preferences and budget and we had no hiccups during the whole trip. Every booking, plan and transit between different accommodations and countries went smoothly.I would highly recommend engaging Namibia Tours and Safari if you wand peace of mind and to enjoy our well-deserved holiday!Shout out to Charl Schoombee for being the best guide ever!",1-Oct-19,Business,Okaukuejo waterhole
Alexander G,"Zurich, Switzerland",A must to go,Go there! It is like a trip in the past and you can see what nature does. It is worth every second and the tour guides are great.,14-Oct-15,Couples,Okaukuejo waterhole
Alexandria,"Alexandria, VA",Amazing and Educational Experience,"If you want to learn about the fastest land mammal, visit this extraordinary refuge and support the great work being done by the volunteers and staff to save the Cheetah.  We spent two days visiting the site and met volunteers from around the world who come to help with Cheetah conservation and education.  You can watch the feedings of the young cheetahs, visit those nearly ready for reintroduction to the wild, and just enjoy watching these magnificent animals.  If you can, pay for the extra opportunities to see the animals up close.  We threw meat to racing cheetahs from the back of a speeding pick-up truck as the naturalist prepared them to hunt for their food.  We also got to meet the cheetah ambassadors and to visit the genetics labs--both were informative and wonderful experiences. The staff are so dedicated and their enthusiasm is infectuous. The CCF is funded by  from people who are interested in seeing these wonderful animals survive.  Once you visit the CCF, you'll want to make a , I promise!",26-Jan-13,Friends,Okaukuejo waterhole
AlexGJames,"London, UK",Amazing paintings and views,"The ancient cave paintings are fantastic, the fact that you are surrounded by breathtaking scenery makes them extra special. A unique place in a beautiful country.",2-Sep-16,Friends,Desert Explores
Alexia D,"Clichy, France",Lifetime experience!,"Day and night safari's, hot air balloon rides, and great places to sleep provided an excellent opportunity to see all of Africa's wildlife. Zebras, lions, hippos, rhinos, and elephants. Lots more but without looking at the photos it is hard to remember all of the magic that happened. Kenya and Tanzania hosted world class sunrises.",6-Aug-16,Couples,Spitzkoppe
Alexlechef,"Casablanca, Morocco",Great experience,Very nice visit of Sandwich Harbour. Amazing drive in the dunes and great lunch. Highly recommended. The driver was a real professional.,4-Aug-23,Couples,Daan Viljoen Nature Reserve
AlfonsoMF,"Los Angeles de San Rafael, Spain",EU/US: nothing to envy,"I wanted to visit Namibia and I surfed internet to find three good package offers. After sending mails to inquire further info, one (Detxxx) did not even reply; second (Albxxx) was reluctant to help me with booking flights (often not included in tours). Then I was lucky to get in touch with NT&S, physically located in small office in Swakopmund, Namibia. All communications with them were smooth, easy and professional. My contact (Bxxx) was always able to answer timely and to provide help in any occasion.The tour drove me to main hot spots in center-north Namibia, including Namib desert, Swakopmund, Damaraland and Etosha National Park. The price (Bronze option) included b&b but no dinners and parallel activities. Info to the later was available thr our guide. Worth to mention the outstanding performance of the guide, a person with long experience and vast knowledge about every single thing in the country, from fauna to history, traditions and lifestyle.All but one of the lodges were medium to high standards. For extra days before and after the safari, NT&S arranged additional accomodation and transfers.The reason why one make a contract with a certain agency and the final organizer turns to be a third party (Sense of Africa) is unlikely important. Nevertheless, I would have liked to be informed.",1-Nov-15,Solo,Daan Viljoen Nature Reserve
Alfswife,United Kingdom,"Wasn't top of my list to see but was really worth it, a must do!","We nearly didn't visit here, but so glad we did, it was really interesting and much better than I anticipated. We had a really enthusiastic guide to show us the rock carvings and tell us all the information, it was great wandering with her & finding out about the carvings but also chatting to her about life in Nambia.  As others have said, it is quite a rocky climb in some places, so reasonable shoes and a steady leg are required!  Amazing carvings so visible. Really great excursion.",2-Oct-18,Couples,Okaukuejo waterhole
